,Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap,Geograph/MountainViews,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Tu=,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,1=,0,W,WO,B,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,MDew,sMDew,Ca,Bin,O,Un,coords
1801,1802,Blackhope Scar,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian/Scottish Borders,"Ma,G,Sim,D,CoH,CoU,CoA",73,337,651.0,2136,NT315483,NT 31512 48324,282.0,NT347465,369.0,no feature 15m SW of trig point,trig point is at NT 31528 48334 and probably lower,,,S,Midlothian (UA) Midlothian (CoH) Lothian (CoA),28-Oct-01,,"http://www.streetmap.co.uk/newmap.srf?x=331511&y=648329&z=3&sv=331511,648329&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.723509&lon=-3.09193,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1802,331511,648329,55.723509,-3.09193,NT3151148329,28.1,1802,,,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (331511.162407885 648328.4648006117)
1802,1803,Bowbeat Hill,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian/Scottish Borders,"Sim,D",73,337,626.0,2054,NT292469,NT 29283 46902,79.0,NT303475,547.0,no feature: ground 80m E of fence corner,,,,S,,10-Dec-12,,"http://www.streetmap.co.uk/newmap.srf?x=329282&y=646907&z=3&sv=329282,646907&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.710414&lon=-3.127042,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1803,329282,646907,55.710414,-3.127042,NT2928246907,28.1,1802,Blackhope Scar,,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (329282.0865361816 646906.455223836)
1805,1806,Jeffries Corse North Top,1805.0,Dundreich,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian/Scottish Borders,xDT,73,337 344,613.0,2011,NT281495,NT 28139 49538,16.0,NT279493,597.0,knoll,,,,S,,28-Mar-12,,"http://www.streetmap.co.uk/newmap.srf?x=328138&y=649543&z=3&sv=328138,649543&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.733926&lon=-3.145938,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1806,328138,649543,55.733926000000004,-3.145938,NT2813849543,28.1,1802,Blackhope Scar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,POINT (328138.0963504501 649542.508734558)
1806,1807,Scald Law,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,"Ma,5,DDew",65 66,344,579.0,1900,NT191610,NT 19169 61080,312.0,NT167541,267.0,tiny cairn 2m N of trig point,,,,S,,10-Dec-12,,"http://www.streetmap.co.uk/newmap.srf?x=319168&y=661085&z=3&sv=319168,661085&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.836192&lon=-3.292174,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1807,319168,661085,55.836192000000004,-3.2921739999999997,NT1916861085,28.1,1807,,,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (319167.9297325267 661084.8335817542)
1808,1809,East Cairn Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Edinburgh/Scottish Borders,"Ma,5,DDew,CoU",65 72,344,567.0,1860,NT128593,NT 12808 59315,169.0,NT143598,398.0,no feature 10m E of small cairn,,Abney level,,S,Edinburgh (UA),28-Oct-01,,"http://www.streetmap.co.uk/newmap.srf?x=312807&y=659320&z=3&sv=312807,659320&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.819229&lon=-3.393139,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1809,312807,659320,55.81922900000001,-3.393139,NT1280759320,28.1,1809,,,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (312806.8178056851 659319.751533387)
1809,1810,West Cairn Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Scottish Borders/West Lothian,"Hu,5,DDew,CoU",65 72,344,562.0,1844,NT107584,NT 10734 58399,132.0,NT118589,430.0,cairn by trig point,,,,S,West Lothian (UA),20-Nov-09,Formerly on Marilyn list,"http://www.streetmap.co.uk/newmap.srf?x=310733&y=658404&z=3&sv=310733,658404&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.810622&lon=-3.425928,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1810,310733,658404,55.810621999999995,-3.425928,NT1073358404,28.1,1809,East Cairn Hill,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (310732.7456600484 658403.7509362519)
1812,1813,Meikle Says Law,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian/Scottish Borders,"Ma,5,DDew,CoH,CoU",67,345E,535.0,1755,NT581617,NT 58121 61734,267.0,NT396565,268.0,trig point,,Abney level,,S,East Lothian (UA) East Lothian (CoH),28-Oct-01,Berwickshire historic county top (hill 5455) is 100m to S on border,"http://www.streetmap.co.uk/newmap.srf?x=358121&y=661739&z=3&sv=358121,661739&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.847027&lon=-2.670406,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1813,358121,661739,55.847027000000004,-2.6704060000000003,NT5812161739,28.1,1813,,,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (358120.7628260585 661738.6644130483)
1814,1815,Black Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,"Ma,5,DDew",65 66,344,501.0,1644,NT188631,NT 18825 63173,184.0,NT176624,317.0,cairn,ground 35m ENE may be as high,,,S,,10-Dec-12,,"http://www.streetmap.co.uk/newmap.srf?x=318824&y=663178&z=3&sv=318824,663178&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.854935&lon=-3.298292,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1815,318824,663178,55.854935,-3.298292,NT1882463178,28.1,1815,,,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (318823.9029664185 663177.8600061234)
1815,1816,Allermuir Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Edinburgh/Midlothian,"Ma,4",66,344 350,493.0,1617,NT227661,NT 22705 66170,235.0,NT198643,258.0,trig point by view indicator,,obvious summit,,S,,15-Jan-03,,"http://www.streetmap.co.uk/newmap.srf?x=322704&y=666175&z=3&sv=322704,666175&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.882495&lon=-3.237183,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1816,322704,666175,55.882495,-3.2371830000000004,NT2270466175,28.1,1816,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (322704.0094732076 666174.8999588322)
1818,1819,Spartleton,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,"Ma,4",67,345E,468.0,1535,NT653655,NT 65320 65543,156.0,NT620682,312.0,cairn about 3m NW of trig point,,obvious summit,,S,,10-Dec-12,,"http://www.streetmap.co.uk/newmap.srf?x=365320&y=665548&z=3&sv=365320,665548&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.881822&lon=-2.555927,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1819,365320,665548,55.881822,-2.555927,NT6532065548,28.1,1819,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (365319.921342818 665547.7049423794)
